n_features,fold,hp_max_depth,hp_max_features,hp_min_samples_leaf,hp_n_estimators
25,7,5.0,sqrt,1,300
25,8,,sqrt,3,300
25,9,,0.3,1,300
25,10,,sqrt,1,300
25,11,,sqrt,3,300
25,12,,sqrt,1,300
25,13,,sqrt,1,300
25,14,,0.3,1,300
26,0,,0.3,3,300
26,1,,sqrt,1,300
26,2,,0.3,1,300
26,3,,0.3,1,300
26,4,,sqrt,1,300
26,5,,0.3,1,300
26,6,,0.3,3,300
26,7,,sqrt,1,300
26,8,,sqrt,3,300
26,9,,sqrt,1,300
26,10,,0.3,3,300
26,11,,sqrt,3,300
26,12,,sqrt,3,300
26,13,5.0,0.3,1,300
26,14,,sqrt,1,300
27,0,,sqrt,3,300
27,1,,sqrt,1,300
27,2,,sqrt,1,300
27,3,5.0,sqrt,1,300
27,4,5.0,sqrt,1,300
27,5,,0.3,1,300
27,6,,0.3,3,300
27,7,,sqrt,1,300
27,8,,sqrt,1,300
27,9,,0.3,1,300
27,10,,sqrt,1,300
27,11,,sqrt,3,300
27,12,5.0,sqrt,1,300
27,13,,sqrt,1,300
27,14,,sqrt,1,300
28,0,,0.3,1,300
28,1,,sqrt,3,300
28,2,,sqrt,1,300
28,3,,0.3,1,300
28,4,,sqrt,3,300
28,5,,sqrt,1,300
28,6,,0.3,1,300
28,7,,sqrt,1,300
28,8,,0.3,1,300
28,9,,sqrt,1,300
28,10,,sqrt,1,300
28,11,,sqrt,3,300
28,12,,sqrt,3,300
28,13,,sqrt,1,300
28,14,,sqrt,1,300
29,0,5.0,sqrt,1,300
29,1,5.0,0.3,1,300
29,2,,sqrt,1,300
29,3,,sqrt,1,300
29,4,,sqrt,1,300
29,5,,0.3,1,300
29,6,,sqrt,3,300
29,7,5.0,sqrt,1,300
29,8,,sqrt,1,300
29,9,,sqrt,3,300
29,10,,0.3,1,300
29,11,,0.3,1,300
29,12,,0.3,1,300
29,13,,0.3,1,300
29,14,5.0,0.3,1,300
30,0,,sqrt,1,300
30,1,5.0,sqrt,1,300
30,2,,sqrt,3,300
30,3,,sqrt,3,300
30,4,5.0,sqrt,1,300
30,5,,sqrt,3,300
30,6,,sqrt,3,300
30,7,5.0,sqrt,1,300
30,8,,sqrt,1,300
30,9,,0.3,1,300
30,10,,sqrt,3,300
30,11,,sqrt,3,300
30,12,,sqrt,1,300
30,13,5.0,sqrt,1,300
30,14,,sqrt,1,300
31,0,,sqrt,3,300
31,1,,0.3,3,300
31,2,,sqrt,1,300
31,3,5.0,0.3,1,300
31,4,5.0,sqrt,1,300
31,5,,sqrt,1,300
31,6,,sqrt,3,300
31,7,,sqrt,1,300
31,8,,sqrt,3,300
31,9,,0.3,1,300
31,10,5.0,sqrt,1,300
31,11,,sqrt,1,300
31,12,,sqrt,1,300
31,13,5.0,sqrt,1,300
31,14,,sqrt,1,300
32,0,,0.3,1,300
32,1,,sqrt,1,300
32,2,,sqrt,1,300
32,3,,sqrt,1,300
32,4,,0.3,1,300
32,5,,sqrt,1,300
32,6,,sqrt,3,300
32,7,5.0,sqrt,1,300
32,8,,sqrt,3,300
32,9,5.0,0.3,1,300
32,10,5.0,sqrt,1,300
32,11,,0.3,1,300
32,12,,sqrt,3,300
32,13,,0.3,1,300
32,14,,sqrt,1,300
33,0,,sqrt,3,300
33,1,,sqrt,1,300
33,2,,sqrt,1,300
33,3,5.0,0.3,1,300
33,4,5.0,sqrt,1,300
33,5,,sqrt,1,300
33,6,,sqrt,1,300
33,7,,sqrt,1,300
33,8,,sqrt,1,300
33,9,5.0,sqrt,1,300
33,10,,sqrt,1,300
33,11,5.0,sqrt,1,300
33,12,5.0,sqrt,1,300
33,13,,0.3,1,300
33,14,,sqrt,1,300
