feature,mean_selection_freq,selected_in_n_folds
107_MMP-9,0.12733333333333335,0
NF2,0.12733333333333335,0
163_PTX3,0.12666666666666668,0
IFNL1,0.12666666666666668,0
EIF5A,0.12333333333333336,0
193_vWF,0.12333333333333335,0
184_PON3,0.12266666666666666,0
114_TNFRSF10A,0.12200000000000004,0
PRKCQ,0.12200000000000003,0
142_FS,0.12200000000000001,0
CCL11,0.12200000000000001,0
SKR3,0.12200000000000001,0
ADA,0.12133333333333335,0
149_CCL22,0.11933333333333336,0
134_FGF-21,0.11933333333333333,0
163_OPN,0.11600000000000002,0
EPHA10,0.11533333333333334,0
168_IgG Fc receptor II-b,0.1146666666666667,0
FGF2,0.11400000000000002,0
TWEAK,0.114,0
120_MEPE,0.11333333333333334,0
IL12RB1,0.11333333333333334,0
JUN,0.11200000000000002,0
CDCP1,0.11133333333333334,0
TPSAB1,0.1106666666666667,0
G-CSF,0.10933333333333334,0
IL4,0.10800000000000001,0
190_CA5A,0.10666666666666667,0
PRTG,0.10533333333333335,0
194_VEGF-D,0.10466666666666669,0
GDNFR-alpha-3,0.10400000000000002,0
160_IL16,0.10333333333333333,0
TRANCE,0.10333333333333333,0
MSR1,0.10266666666666668,0
TRAIL,0.10200000000000001,0
178_THPO,0.10133333333333334,0
CPM,0.10133333333333334,0
CD200R1,0.10066666666666668,0
GDNF.1,0.10066666666666667,0
WFIKKN1,0.10000000000000003,0
165_PGLYRP1,0.10000000000000002,0
CRIP2,0.09933333333333333,0
166_CPA1,0.09866666666666668,0
106_SLAMF7,0.09866666666666668,0
154_AXL,0.09866666666666667,0
CASP-8,0.09733333333333336,0
191_TNF-R1,0.09600000000000002,0
KIR2DL3,0.09533333333333334,0
FcRL2,0.09533333333333334,0
CCL4,0.09466666666666668,0
158_MB,0.09400000000000001,0
SMOC1,0.09133333333333334,0
HMOX2,0.09133333333333334,0
149_REN,0.09066666666666667,0
165_CCL17,0.09066666666666667,0
192_IGFBP-2,0.09000000000000001,0
148_SERPINA12,0.09000000000000001,0
SFRP1,0.08933333333333335,0
DPEP1,0.08866666666666669,0
110_OPG,0.08866666666666667,0
NEP,0.08800000000000001,0
SPOCK1,0.08800000000000001,0
FGF-19,0.08733333333333335,0
ANXA10,0.08733333333333335,0
173_uPA,0.08666666666666667,0
CLSTN1,0.08600000000000003,0
DCBLD2,0.08600000000000001,0
GDNF,0.08533333333333334,0
NCR1,0.08466666666666668,0
IL10.1,0.08466666666666667,0
IKZF2,0.08466666666666667,0
MILR1,0.08400000000000002,0
IL-5R-alpha,0.08333333333333334,0
IL8,0.08266666666666668,0
CD244,0.08266666666666668,0
TN-R,0.08200000000000002,0
NMNAT1,0.082,0
ITM2A,0.08133333333333334,0
GM-CSF-R-alpha,0.08133333333333334,0
CCL27,0.08066666666666668,0
IFN-gamma,0.08066666666666666,0
Dkk-4,0.07933333333333334,0
185_CTSL1,0.07933333333333333,0
159_XCL1,0.07866666666666668,0
171_Dkk-1,0.07866666666666668,0
NRP2,0.07866666666666668,0
105_IL-17RA,0.07733333333333334,0
VWC2,0.07733333333333334,0
174_AGRP,0.07600000000000001,0
CNTN5,0.076,0
PTH1R,0.07533333333333334,0
DAPP1,0.07466666666666667,0
PLXNA4,0.07333333333333333,0
GBP2,0.07333333333333333,0
SCARB2,0.07333333333333333,0
132_CCL24,0.07266666666666668,0
RSPO1,0.07200000000000001,0
BST2,0.07133333333333335,0
CTF1,0.07133333333333333,0
109_IL2-RA,0.07,0
IL-18R1,0.06933333333333334,0
CSF-1,0.06933333333333333,0
183_COL1A1,0.06866666666666668,0
DPP10,0.06866666666666667,0
CDSN,0.06866666666666667,0
Beta-NGF,0.06733333333333334,0
TNFB,0.06733333333333334,0
181_CD93,0.06733333333333333,0
DNER,0.06666666666666668,0
124_Notch 3,0.06666666666666667,0
CNTNAP2,0.06666666666666667,0
140_MPO,0.066,0
MDGA1,0.066,0
NPM1,0.06533333333333334,0
FKBP7,0.064,0
VSTM1,0.064,0
190_PDGF subunit A,0.06333333333333334,0
ST1A1,0.06333333333333334,0
HEXIM1,0.06200000000000001,0
IL15,0.06200000000000001,0
PRTFDC1,0.06200000000000001,0
CLM-6,0.06200000000000001,0
EDAR,0.06199999999999999,0
174_CPB1,0.061333333333333344,0
EIF4G1,0.060000000000000005,0
COL4A3BP,0.05866666666666667,0
ITGA6,0.05800000000000001,0
EPHB6,0.05800000000000001,0
UBE2F,0.058,0
115_MCP-1,0.05733333333333333,0
CCL19,0.05666666666666668,0
MMP-1,0.05666666666666667,0
GDF-8,0.05666666666666667,0
SIRT2,0.05600000000000001,0
FXYD5,0.05466666666666667,0
CDH6,0.05466666666666667,0
111_SRC,0.05466666666666666,0
PAEP,0.05466666666666666,0
TNFRSF13C,0.054000000000000006,0
Alpha-2-MRAP,0.054000000000000006,0
103_ITGB2,0.054,0
IL-20RA,0.05266666666666667,0
177_t-PA,0.052000000000000005,0
SRPK2,0.051333333333333335,0
101_TNFRSF14,0.05066666666666667,0
137_AZU1,0.05066666666666667,0
145_CHIT1,0.05066666666666667,0
ICA1,0.05000000000000002,0
196_CCL16,0.05,0
ADAM 22,0.05,0
PTPN1,0.049333333333333326,0
CD40,0.04866666666666667,0
SCF,0.048000000000000015,0
150_PSP-D,0.048,0
135_GDF-15,0.047333333333333345,0
CCL11.1,0.047333333333333345,0
ADAM 23,0.047333333333333345,0
OPG,0.046666666666666676,0
uPA,0.04666666666666667,0
PTS,0.04666666666666667,0
PPP1R9B,0.04666666666666666,0
SIGLEC1,0.04600000000000001,0
THY 1,0.04600000000000001,0
VEGFA,0.046000000000000006,0
HCLS1,0.046,0
NBL1,0.04533333333333334,0
KIF1BP,0.04533333333333333,0
121_BLM hydrolase,0.044666666666666674,0
130_TFPI,0.044666666666666674,0
MCP-1,0.044666666666666674,0
189_LEP,0.04466666666666667,0
IL-1 alpha,0.04466666666666666,0
RPS6KB1,0.044000000000000004,0
IL-17A,0.04333333333333334,0
TMPRSS5,0.04333333333333334,0
NXPH1,0.042666666666666665,0
168_Gal-4,0.042,0
IRAK4,0.04133333333333333,0
141_CXCL16,0.04066666666666667,0
FGF-23,0.04066666666666666,0
139_FGF-23,0.04000000000000001,0
109_Protein BOC,0.04,0
120_TRAIL-R2,0.04,0
118_GRN,0.03866666666666667,0
DDR1,0.03866666666666667,0
GLB1,0.038000000000000006,0
SPRY2,0.038000000000000006,0
IL-20,0.038000000000000006,0
177_FABP2,0.03733333333333334,0
135_PIgR,0.03666666666666667,0
SCARF2,0.03666666666666667,0
Nr-CAM,0.03666666666666667,0
MMP-10,0.036000000000000004,0
IL-24,0.036,0
TRIM21,0.035333333333333335,0
127_CDH5,0.034666666666666665,0
FGF-21,0.034,0
CXCL6,0.034,0
125_PDGF subunit B,0.03333333333333334,0
IL-15RA,0.03266666666666667,0
132_SCF,0.03266666666666666,0
FUT8,0.03266666666666666,0
NTRK2,0.03266666666666666,0
156_AMBP,0.03200000000000001,0
IL2,0.032,0
PFDN2,0.03133333333333334,0
LEPR,0.03133333333333333,0
172_LPL,0.03066666666666667,0
106_TNF-R2,0.030000000000000006,0
188_TGM2,0.030000000000000002,0
BACH1,0.030000000000000002,0
179_MARCO,0.029333333333333336,0
116_CD163,0.028666666666666674,0
112_IL-1ra,0.02866666666666667,0
