model,outcome,n_features_main,pooled_auc,pooled_ap,pooled_brier,fold_auc_mean,fold_auc_std,fold_balacc_mean,fold_balacc_std,fold_f1_mean,youden_threshold,peak_auc_value,peak_auc_k,peak_balacc_value,peak_balacc_k,peak_f1_value,peak_f1_k
XGBoost,Within5Yr,46,0.7047935214526432,0.7269691162323431,0.25359141193029366,0.7091358024691359,0.08358906479058043,0.6214814814814813,0.09599260210570452,0.6198047781625653,0.8244121670722961,0.9084773662551442,15,0.8329629629629629,15,0.8359175419237339,15
XGBoost,Within6Yr,50,0.7116122104617272,0.7654800977742879,0.2463736784301311,0.7192929292929293,0.10294506702586362,0.6693350168350168,0.08688053454281032,0.7124699133394785,0.5511560440063477,0.8670286195286195,36,0.7908670033670032,28,0.8213242218413844,28
XGBoost,Within7Yr,49,0.6964285714285714,0.7491469083680535,0.24159727729128402,0.6980519480519479,0.10827032141526213,0.6452380952380953,0.09614109998900229,0.726869291400184,0.4612959623336792,0.8922077922077921,28,0.8102813852813853,16,0.8517269590313069,16
Logistic Regression,Within1Yr,33,0.6341566929802224,0.2985615579419987,0.18493471913189688,0.6534259259259261,0.15930921989207655,0.5991666666666667,0.15163174964366793,0.3117075517075517,0.439344742933226,0.9382407407407406,24,0.8783333333333335,30,0.7636374736374736,30
Logistic Regression,Within2Yr,50,0.606518817204301,0.47197084525674027,0.27744761743570207,0.6267399267399267,0.1644841752364813,0.5935592185592184,0.12119049470886589,0.4477413327413328,0.47782112815992445,0.9932743182743183,34,0.9543650793650793,37,0.9448951048951048,37
Logistic Regression,Within3Yr,48,0.709557258407833,0.6224532579594412,0.245187294320772,0.7036435786435786,0.07273824242274396,0.6607323232323233,0.08581846438964125,0.5820455361631833,0.5337243384026094,0.9984487734487735,31,0.9716630591630593,37,0.9638235294117649,37
Logistic Regression,Within4Yr,38,0.5882352941176471,0.5623870958907498,0.3277055136595632,0.6029208754208756,0.10120304069059693,0.5214646464646465,0.06951498450671935,0.48479532392845087,0.10842286494711594,0.9805976430976433,21,0.9253535353535353,28,0.9158233882846887,28
Logistic Regression,Within5Yr,46,0.6359841054272926,0.6526272351912625,0.3098290273873615,0.6444444444444443,0.0822448343207233,0.5651851851851852,0.10281459372069607,0.5867400458731727,0.6409499097442711,0.9914403292181071,25,0.9537037037037038,25,0.9528081344180416,25
Logistic Regression,Within6Yr,50,0.7215319323004551,0.7714549622448241,0.23999074620914138,0.7292845117845118,0.09686573135401234,0.6520202020202019,0.11118361672429582,0.6993715374661217,0.34756541763772353,0.9937289562289562,34,0.9582744107744109,37,0.9615291852820458,37
Logistic Regression,Within7Yr,49,0.6788847117794486,0.7507402348434632,0.2544216235318788,0.6999278499278497,0.08759953378614697,0.6341089466089466,0.0875203004102393,0.7180489137102409,0.6550570547724098,0.9984487734487734,40,0.9810966810966811,37,0.985243741765481,37
SVM-RBF,Within1Yr,33,0.6541889483065954,0.29243309144243845,0.1707102712512585,0.6385185185185186,0.16750982711790363,0.5515277777777778,0.12207507150114875,0.2211111111111111,0.20303992187775258,0.955462962962963,24,0.7666666666666667,24,0.6242857142857143,24
SVM-RBF,Within2Yr,50,0.5777889784946236,0.4444809785602487,0.2852089344329716,0.5894281644281645,0.18962908972256245,0.6106227106227107,0.13321060018606679,0.43931105931105935,0.5052800621629872,0.9632987382987382,50,0.8831807081807083,40,0.8473626373626373,40
SVM-RBF,Within3Yr,48,0.6861430395913155,0.6271409385067828,0.25976278167154493,0.6777777777777777,0.10501956222104132,0.6344877344877345,0.10440610640958482,0.5354922746099217,0.5219943029607621,0.9936507936507936,38,0.9677489177489178,38,0.959092149680385,38
SVM-RBF,Within4Yr,38,0.5891472868217054,0.582448779211611,0.34755291715093123,0.5846380471380471,0.09696501915850574,0.5461363636363636,0.06838696690245992,0.5090600432705695,0.07824004436620093,0.9693350168350168,29,0.9001430976430975,27,0.8890412368276146,27
SVM-RBF,Within5Yr,46,0.6313565716010261,0.6473908194184679,0.3138502437141719,0.628641975308642,0.08984785479302562,0.5733333333333334,0.08459885631791854,0.5887604782060294,0.7836860520717321,0.9479835390946502,21,0.8829629629629631,39,0.8765301846416398,39
SVM-RBF,Within6Yr,50,0.7220943907552283,0.7883819049430789,0.26269523961222735,0.7224410774410774,0.09023261550439111,0.6430218855218856,0.09939941083767408,0.6890229266104888,0.6926495130377723,0.9810521885521885,38,0.918493265993266,46,0.9232725423572105,40
SVM-RBF,Within7Yr,49,0.6572159565580619,0.7580724836952379,0.2727732971538038,0.6428210678210678,0.17173865082747605,0.5829004329004328,0.10695655149146537,0.7079584171669708,0.817652558075289,0.9858585858585857,48,0.9568722943722945,33,0.9671360813099942,33
